סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
,,,,,,,,,,,
472,אבו גוש,ירושלים,ירושלים,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי יהודה,"7,881",83,64,"7,798",
473,אבו סנאן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור נהרייה,"14,455",31,14,"14,424",
1342,אבו קורינאת (יישוב),הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,נווה מדבר,אזור באר שבע,"2,081",-,-,"2,081",אשכול רשויות נגב מזרחי        
1375,אבו תלול,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,נווה מדבר,אזור באר שבע,"2,330",8,-,"2,322",אשכול רשויות נגב מזרחי        
652,אבטין,חיפה,חיפה,יישובים לא יהודיים 4999-2000 תושבים,זבולון,אזור חיפה,"2,900",2,2,"2,898",אשכול רשויות המפרץ            
1275,אבטליון,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,475,475,455,-,אשכול רשויות בית הכרם הגלילי  
679,אביאל,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,אלונה,אזור חדרה,820,820,808,-,
1115,אביבים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,470,470,468,-,אשכול רשויות גליל מזרחי       
819,אביגדור,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,806,806,801,-,אשכול רשויות שורק דרומי       
175,אביחיל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,402","1,402","1,361",-,
2052,אביטל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,489,489,489,-,אשכול רשויות הגליל והעמקים    
1070,אביעזר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,890,890,885,-,
1220,אבירים,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור אילון,296,296,280,-,אשכול רשויות גליל מערבי       
182,אבן יהודה,המרכז,השרון,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,מערב השרון,"14,267","14,265","14,026",2,
1081,אבן מנחם,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,278,278,274,-,אשכול רשויות גליל מערבי       
783,אבן ספיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,686,686,679,-,
400,אבן שמואל,הדרום,אשקלון,יישובים יהודיים 4999-2000 תושבים,שפיר,אזור לכיש,"2,279","2,279","2,277",-,
4011,אבני איתן,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,811,811,808,-,אשכול רשויות גליל מזרחי       
3793,אבני חפץ,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,223","2,223","2,202",-,אשכול יהודה ושומרון           
3786,אבנת,יהודה והשומרון,,יישובים קהילתיים,מגילות ים המלח,,260,260,260,-,אשכול יהודה ושומרון           
1311,אבשלום,הדרום,באר שבע,יישובים קהילתיים,אשכול,אזור בשור,345,345,261,-,אשכול רשויות נגב מערבי        
3759,אדורה,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,474,474,467,-,אשכול יהודה ושומרון           
113,אדירים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,278,278,275,-,אשכול רשויות הגליל והעמקים    
